Year,Player Name,Team Name,Matches,Runs,Innings,Strike Rate,Batting Average,Highest Score,Average,Centuries,Half Centuries,Ducks
2022,A Nortje,Delhi Capitals,6,1,1,1,1*,-,16.66,-,-,-
2022,D Padikkal,Rajasthan Royals,17,17,-,376,54,22.11,122.87,-,1,1
2022,MK Pandey,Lucknow Super Giants,6,6,-,88,38,14.66,110,-,-,-
2022,HH Pandya,Gujarat Titans,15,15,4,487,87*,44.27,131.26,-,4,-
2022,KH Pandya,Lucknow Super Giants,14,13,4,183,42,20.33,126.2,-,-,1
2022,RR Pant,Delhi Capitals,14,13,2,340,44,30.9,151.78,-,-,-
2022,R Parag,Rajasthan Royals,17,14,3,183,56*,16.63,138.63,-,1,-
2022,AR Patel,Delhi Capitals,13,10,6,182,42*,45.5,151.66,-,-,-
2022,HV Patel,Royal Challengers Bangalore,15,8,3,43,11,8.6,110.25,-,-,1
2022,RV Patel,Delhi Capitals,2,1,-,6,6,6,200,-,-,-
2022,M Pathirana,Chennai Super Kings,2,-,-,-,-,-,-,-,-,-
2022,RM Patidar,Royal Challengers Bangalore,8,7,1,333,112*,55.5,152.75,1,2,-
2022,KA Pollard,Mumbai Indians,11,11,1,144,25,14.4,107.46,-,-,1
2022,N Pooran,Sunrisers Hyderabad,14,13,5,306,64*,38.25,144.33,-,2,1
2022,R Powell,Delhi Capitals,14,12,2,250,67*,25,149.7,-,1,2
2022,Prabhsimran Singh,Punjab Kings,1,1,-,14,14,14,127.27,-,-,-
2022,SS Prabhudessai,Royal Challengers Bangalore,5,5,-,67,34,13.4,113.55,-,-,-
2022,M Prasidh Krishna,Rajasthan Royals,17,3,2,6,4*,6,50,-,-,-
2022,D Pretorius,Chennai Super Kings,6,5,1,44,22,11,157.14,-,-,1
2022,K Rabada,Punjab Kings,13,8,3,48,25,9.6,111.62,-,-,-
2022,AM Rahane,Kolkata Knight Riders,7,7,-,133,44,19,103.9,-,-,-
2022,KL Rahul,Lucknow Super Giants,15,15,3,616,103*,51.33,135.38,2,4,3
2022,PBB Rajapaksa,Punjab Kings,9,9,-,206,43,22.88,159.68,-,-,-
2022,Ramandeep Singh,Mumbai Indians,5,4,2,45,14*,22.5,112.5,-,-,-
2022,N Rana,Kolkata Knight Riders,14,14,1,361,57,27.76,143.82,-,2,1
2022,Rashid Khan,Gujarat Titans,16,8,4,91,40,22.75,206.81,-,-,3
2022,Rasikh Salam,Kolkata Knight Riders,2,1,-,7,7,7,116.66,-,-,-
2022,Ravi Bishnoi,Lucknow Super Giants,14,1,1,-,0*,-,-,-,-,-
2022,AT Rayudu,Chennai Super Kings,13,11,-,274,78,24.9,122.32,-,1,-
2022,AS Roy,Kolkata Knight Riders,2,1,-,-,-,-,-,-,-,1
2022,AD Russell,Kolkata Knight Riders,14,12,3,335,70*,37.22,174.47,-,1,2
