Year,Player Name,Team Name,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
2008,P Amarnath,Chennai Super Kings,6,6,132,-,236,7,2/29,33.71,10.72,18.8,-,-,2,-
2008,Abdur Razzak,Royal Challengers Bangalore,1,1,12,-,29,-,-,0.00,14.5,-,-,-,-,-
2008,AB Agarkar,Kolkata Knight Riders,9,9,156,-,207,8,3/25,25.87,7.96,19.5,-,-,1,-
2008,B Akhil,Royal Challengers Bangalore,7,6,104,-,134,2,2/17,67.00,7.73,52,-,-,3,-
2008,S Anirudha,Chennai Super Kings,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-
2008,J Arunkumar,Royal Challengers Bangalore,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-
2008,SA Asnodkar,Rajasthan Royals,9,-,0,-,-,-,-,0.00,-,-,-,-,5,-
2008,S Badrinath,Chennai Super Kings,16,-,0,-,-,-,-,0.00,-,-,-,-,5,-
2008,L Balaji,Chennai Super Kings,9,9,198,-,286,11,5/24,26.00,8.66,18,1,-,1,-
2008,SB Bangar,Deccan Chargers,11,9,150,-,219,4,2/34,54.75,8.76,37.5,-,-,2,-
2008,R Bhatia,Delhi Daredevils,9,9,132,-,183,6,2/17,30.50,8.31,22,-,-,1,-
2008,MV Boucher,Royal Challengers Bangalore,10,-,0,-,-,-,-,0.00,-,-,-,-,3,1
2008,DJ Bravo,Mumbai Indians,9,9,170,1,232,11,3/24,21.09,8.18,15.4,-,-,4,-
2008,S Chanderpaul,Royal Challengers Bangalore,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-
2008,PP Chawla,Kings XI Punjab,15,15,281,-,389,17,3/25,22.88,8.3,16.5,-,-,6,-
2008,B Chipli,Royal Challengers Bangalore,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-
2008,SD Chitnis,Mumbai Indians,3,2,36,-,60,2,2/40,30.00,10,18,-,-,1,-
2008,A Chopra,Kolkata Knight Riders,5,-,0,-,-,-,-,0.00,-,-,-,-,2,-
2008,DB Das,Kolkata Knight Riders,6,-,0,-,-,-,-,0.00,-,-,-,-,-,-
2008,H Das,Deccan Chargers,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-
2008,AB de Villiers,Delhi Daredevils,6,-,0,-,-,-,-,0.00,-,-,-,-,3,-
2008,P Dharmani,Kings XI Punjab,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-
2008,S Dhawan,Delhi Daredevils,14,-,0,-,-,-,-,0.00,-,-,-,-,8,-
2008,MS Dhoni,Chennai Super Kings,16,-,0,-,-,-,-,0.00,-,-,-,-,6,-
